,Country,Response ID,IoT,Connected Devices,Botnet,Blockchain,RFID,DDOS,Zero Day,VPN,TOR,None,Total_Checked,Number of Terms,Most_Common_Term,Most_Common_Value,MCV_formatted,Least_Common_Term,Least_Common_Value,LCV_formatted,Count
0,Afghanistan,105896.8,0.07,0.47,0.0,0.13,0.2,0.13,0.07,0.33,0.27,0.07,1.73,1.67,Connected Devices,0.47,46.67,Botnet,0.0,0.0,15
1,Albania,107157.88,0.21,0.68,0.21,0.18,0.13,0.22,0.16,0.5,0.22,0.09,2.59,2.5,Connected Devices,0.68,67.65,RFID,0.13,13.24,68
2,Algeria,99974.02,0.09,0.41,0.1,0.07,0.07,0.12,0.09,0.31,0.16,0.12,1.55,1.43,Connected Devices,0.41,40.97,RFID,0.07,6.84,1114
5,Angola,140057.1,0.07,0.45,0.07,0.03,0.07,0.07,0.03,0.28,0.14,0.14,1.34,1.21,Connected Devices,0.45,44.83,Blockchain,0.03,3.45,29
7,Anonymous Proxy,82349.63,0.58,0.84,0.63,0.47,0.63,0.71,0.53,0.84,0.84,0.03,6.11,6.08,Connected Devices,0.84,84.21,Blockchain,0.47,47.37,38
9,Argentina,96867.88,0.2,0.73,0.2,0.13,0.13,0.31,0.18,0.49,0.34,0.17,2.88,2.71,Connected Devices,0.73,72.76,Blockchain,0.13,12.84,3262
13,Australia,75358.41,0.3,0.78,0.3,0.21,0.36,0.35,0.21,0.62,0.35,0.15,3.62,3.48,Connected Devices,0.78,77.55,Blockchain,0.21,21.02,2455
14,Austria,104061.05,0.32,0.77,0.4,0.25,0.35,0.42,0.25,0.61,0.5,0.11,3.99,3.88,Connected Devices,0.77,76.67,Zero Day,0.25,24.95,2155
17,Bahrain,108186.9,0.3,0.7,0.25,0.15,0.25,0.25,0.25,0.65,0.45,0.1,3.35,3.25,Connected Devices,0.7,70.0,Blockchain,0.15,15.0,20
18,Bangladesh,107375.86,0.13,0.33,0.08,0.05,0.07,0.09,0.06,0.25,0.15,0.07,1.28,1.21,Connected Devices,0.33,32.66,Blockchain,0.05,5.14,840
20,Belarus,79359.15,0.65,0.69,0.73,0.58,0.5,0.92,0.5,0.92,0.81,0.08,6.38,6.31,DDOS,0.92,92.31,RFID,0.5,50.0,26
21,Belgium,88452.8,0.2,0.78,0.27,0.17,0.25,0.35,0.18,0.55,0.41,0.13,3.29,3.16,Connected Devices,0.78,77.8,Blockchain,0.17,17.07,2537
23,Benin,103002.13,0.15,0.69,0.21,0.13,0.07,0.21,0.16,0.44,0.19,0.08,2.33,2.25,Connected Devices,0.69,68.54,RFID,0.07,6.74,90
25,Bolivia,103609.82,0.13,0.64,0.13,0.1,0.09,0.17,0.13,0.4,0.26,0.18,2.23,2.05,Connected Devices,0.64,63.72,RFID,0.09,8.6,430
26,Bosnia and Herzegovina,107438.45,0.29,0.69,0.23,0.21,0.26,0.35,0.16,0.48,0.37,0.08,3.13,3.05,Connected Devices,0.69,69.35,Zero Day,0.16,16.13,62
27,Botswana,142994.56,0.12,0.62,0.19,0.06,0.12,0.12,0.19,0.38,0.12,0.12,2.06,1.94,Connected Devices,0.62,62.5,Blockchain,0.06,6.25,16
28,Brazil,102223.44,0.2,0.72,0.18,0.13,0.14,0.26,0.11,0.48,0.3,0.15,2.66,2.5,Connected Devices,0.72,71.53,Zero Day,0.11,10.73,13409
30,Bulgaria,97631.42,0.43,0.78,0.4,0.27,0.31,0.51,0.32,0.7,0.48,0.04,4.23,4.19,Connected Devices,0.78,78.48,Blockchain,0.27,26.58,158
31,Burkina Faso,108672.43,0.07,0.55,0.06,0.03,0.04,0.07,0.04,0.36,0.1,0.15,1.49,1.34,Connected Devices,0.55,55.22,Blockchain,0.03,2.99,68
32,Burundi,112374.67,0.17,0.72,0.17,0.11,0.06,0.17,0.06,0.44,0.17,0.11,2.17,2.06,Connected Devices,0.72,72.22,RFID,0.06,5.56,18
33,Cambodia,109509.25,0.05,0.25,0.05,0.05,0.06,0.08,0.06,0.2,0.1,0.09,0.98,0.89,Connected Devices,0.25,25.49,IoT,0.05,4.9,104
34,Cameroon,106589.08,0.11,0.63,0.1,0.06,0.1,0.13,0.09,0.48,0.17,0.13,1.99,1.86,Connected Devices,0.63,62.73,Blockchain,0.06,6.27,272
35,Canada,78697.3,0.26,0.73,0.27,0.18,0.34,0.32,0.19,0.55,0.35,0.18,3.37,3.19,Connected Devices,0.73,73.46,Blockchain,0.18,18.5,4440
40,Chile,100333.38,0.22,0.75,0.21,0.14,0.15,0.34,0.19,0.55,0.4,0.12,3.07,2.95,Connected Devices,0.75,75.42,Blockchain,0.14,14.27,1417
41,China,101422.91,0.42,0.74,0.27,0.28,0.38,0.43,0.28,0.78,0.49,0.01,4.07,4.07,VPN,0.78,77.57,Botnet,0.27,27.1,107
43,Colombia,101527.49,0.22,0.73,0.16,0.18,0.13,0.25,0.18,0.53,0.32,0.15,2.85,2.7,Connected Devices,0.73,72.97,RFID,0.13,12.75,2314
45,Congo,106069.31,0.19,0.5,0.12,0.0,0.06,0.25,0.06,0.5,0.25,0.12,2.06,1.94,Connected Devices,0.5,50.0,Blockchain,0.0,0.0,16
46,"Congo, The Democratic Republic of the",111469.71,0.18,0.56,0.13,0.11,0.11,0.09,0.11,0.42,0.18,0.09,1.98,1.89,Connected Devices,0.56,56.36,DDOS,0.09,9.09,58
47,Costa Rica,100623.6,0.25,0.79,0.23,0.19,0.17,0.33,0.23,0.61,0.38,0.11,3.28,3.18,Connected Devices,0.79,79.04,RFID,0.17,17.31,440
48,Cote D'Ivoire,100357.71,0.12,0.63,0.12,0.09,0.09,0.15,0.09,0.45,0.21,0.1,2.06,1.95,Connected Devices,0.63,62.75,Blockchain,0.09,9.15,307
49,Croatia,89740.93,0.42,0.78,0.42,0.3,0.39,0.52,0.31,0.73,0.53,0.08,4.48,4.4,Connected Devices,0.78,77.78,Blockchain,0.3,30.0,180
50,Cuba,113306.07,0.18,0.64,0.2,0.13,0.08,0.2,0.28,0.48,0.23,0.18,2.6,2.42,Connected Devices,0.64,64.49,RFID,0.08,8.41,107
52,Cyprus,78332.64,0.39,0.75,0.39,0.11,0.36,0.44,0.28,0.75,0.42,0.06,3.94,3.89,Connected Devices,0.75,75.0,Blockchain,0.11,11.11,36
53,Czech Republic,96345.23,0.59,0.84,0.48,0.32,0.47,0.65,0.39,0.8,0.63,0.07,5.23,5.16,Connected Devices,0.84,84.0,Blockchain,0.32,32.0,150
54,Denmark,83838.05,0.48,0.78,0.49,0.3,0.44,0.57,0.38,0.76,0.63,0.09,4.93,4.84,Connected Devices,0.78,78.28,Blockchain,0.3,30.32,221
57,Dominican Republic,93662.75,0.24,0.75,0.18,0.17,0.16,0.32,0.17,0.55,0.34,0.12,2.99,2.87,Connected Devices,0.75,75.41,RFID,0.16,15.57,244
58,Ecuador,109664.36,0.12,0.64,0.11,0.11,0.08,0.16,0.13,0.36,0.2,0.19,2.09,1.91,Connected Devices,0.64,63.85,RFID,0.08,8.29,1341
59,Egypt,118713.29,0.12,0.26,0.08,0.06,0.06,0.12,0.07,0.25,0.15,0.06,1.2,1.14,Connected Devices,0.26,25.57,Blockchain,0.06,5.57,307
60,El Salvador,105587.69,0.18,0.72,0.15,0.1,0.09,0.25,0.22,0.51,0.31,0.17,2.7,2.54,Connected Devices,0.72,71.82,RFID,0.09,9.21,369
62,Estonia,90140.42,0.52,0.85,0.65,0.37,0.44,0.73,0.56,0.83,0.62,0.02,5.58,5.56,Connected Devices,0.85,84.62,Blockchain,0.37,36.54,52
63,Ethiopia,118134.04,0.14,0.24,0.05,0.05,0.06,0.03,0.04,0.27,0.1,0.04,1.01,0.97,VPN,0.27,26.58,DDOS,0.03,2.53,79
64,Europe,99574.83,0.45,0.86,0.46,0.25,0.55,0.47,0.24,0.78,0.51,0.05,4.61,4.56,Connected Devices,0.86,86.16,Zero Day,0.24,23.9,159
65,Fiji,105415.94,0.31,0.88,0.31,0.12,0.31,0.31,0.12,0.62,0.19,0.06,3.25,3.19,Connected Devices,0.88,87.5,Blockchain,0.12,12.5,17
66,Finland,93786.58,0.58,0.86,0.55,0.37,0.59,0.61,0.46,0.82,0.77,0.05,5.66,5.61,Connected Devices,0.86,86.18,Blockchain,0.37,36.87,217
67,France,93183.67,0.18,0.82,0.26,0.19,0.28,0.35,0.19,0.54,0.41,0.1,3.32,3.22,Connected Devices,0.82,82.29,IoT,0.18,17.97,31985
68,French Guiana,104640.24,0.08,0.78,0.22,0.04,0.12,0.26,0.06,0.48,0.28,0.12,2.44,2.32,Connected Devices,0.78,78.0,Blockchain,0.04,4.0,50
69,French Polynesia,88174.79,0.15,0.74,0.22,0.16,0.18,0.24,0.16,0.51,0.3,0.17,2.82,2.65,Connected Devices,0.74,74.16,IoT,0.15,14.61,89
70,Gabon,107092.13,0.08,0.64,0.09,0.04,0.08,0.09,0.08,0.55,0.15,0.08,1.87,1.79,Connected Devices,0.64,64.15,Blockchain,0.04,3.77,53
72,Georgia,103109.55,0.3,0.5,0.3,0.2,0.25,0.25,0.3,0.45,0.25,0.05,2.85,2.8,Connected Devices,0.5,50.0,Blockchain,0.2,20.0,20
73,Germany,104221.68,0.27,0.74,0.44,0.18,0.35,0.38,0.23,0.57,0.47,0.13,3.76,3.63,Connected Devices,0.74,74.26,Blockchain,0.18,18.48,24979
74,Ghana,129418.18,0.17,0.62,0.17,0.15,0.15,0.19,0.08,0.54,0.16,0.09,2.34,2.25,Connected Devices,0.62,62.5,Zero Day,0.08,7.69,105
76,Greece,87016.96,0.43,0.85,0.36,0.25,0.36,0.47,0.3,0.73,0.51,0.07,4.33,4.26,Connected Devices,0.85,84.96,Blockchain,0.25,24.56,400
78,Guadeloupe,101446.35,0.15,0.76,0.15,0.14,0.24,0.24,0.1,0.5,0.31,0.16,2.74,2.58,Connected Devices,0.76,76.47,Zero Day,0.1,9.8,102
80,Guatemala,102899.38,0.21,0.77,0.21,0.12,0.11,0.31,0.2,0.54,0.35,0.12,2.94,2.82,Connected Devices,0.77,77.17,RFID,0.11,10.5,438
82,Guinea,97994.68,0.07,0.45,0.05,0.05,0.05,0.07,0.0,0.3,0.02,0.18,1.23,1.05,Connected Devices,0.45,45.45,Zero Day,0.0,0.0,44
83,Guyana,102378.47,0.27,0.67,0.33,0.07,0.27,0.33,0.2,0.73,0.27,0.0,3.13,3.13,VPN,0.73,73.33,Blockchain,0.07,6.67,15
84,Haiti,120106.88,0.12,0.44,0.15,0.06,0.09,0.15,0.12,0.32,0.21,0.24,1.88,1.65,Connected Devices,0.44,44.12,Blockchain,0.06,5.88,34
86,Honduras,104233.73,0.14,0.72,0.15,0.13,0.09,0.29,0.17,0.59,0.3,0.12,2.71,2.59,Connected Devices,0.72,71.78,RFID,0.09,9.41,203
87,Hong Kong,103619.86,0.54,0.74,0.29,0.22,0.47,0.58,0.28,0.83,0.49,0.01,4.45,4.43,VPN,0.83,82.89,Blockchain,0.22,22.37,76
88,Hungary,96929.54,0.36,0.77,0.44,0.2,0.32,0.45,0.25,0.67,0.58,0.07,4.11,4.03,Connected Devices,0.77,76.86,Blockchain,0.2,19.83,122
89,Iceland,67149.9,0.33,0.9,0.47,0.3,0.27,0.47,0.3,0.8,0.63,0.03,4.5,4.47,Connected Devices,0.9,90.0,RFID,0.27,26.67,30
90,India,116417.33,0.32,0.52,0.17,0.13,0.21,0.19,0.11,0.4,0.21,0.08,2.33,2.26,Connected Devices,0.52,51.75,Zero Day,0.11,11.21,5822
91,Indonesia,117978.41,0.18,0.44,0.11,0.07,0.14,0.18,0.07,0.36,0.18,0.09,1.82,1.73,Connected Devices,0.44,44.46,Blockchain,0.07,6.84,1237
92,"Iran, Islamic Republic of",127956.49,0.14,0.3,0.09,0.08,0.13,0.14,0.1,0.3,0.17,0.04,1.47,1.43,VPN,0.3,30.35,Blockchain,0.08,8.01,653
93,Iraq,125495.25,0.12,0.4,0.08,0.08,0.1,0.15,0.1,0.29,0.15,0.04,1.52,1.48,Connected Devices,0.4,39.58,Botnet,0.08,8.33,48
94,Ireland,85658.94,0.4,0.81,0.4,0.27,0.38,0.45,0.25,0.69,0.52,0.1,4.27,4.17,Connected Devices,0.81,81.47,Zero Day,0.25,25.07,368
96,Israel,89741.66,0.44,0.84,0.41,0.28,0.39,0.55,0.29,0.75,0.56,0.08,4.58,4.51,Connected Devices,0.84,84.38,Blockchain,0.28,28.12,160
97,Italy,98709.98,0.21,0.79,0.2,0.13,0.18,0.27,0.14,0.47,0.31,0.12,2.83,2.71,Connected Devices,0.79,79.04,Blockchain,0.13,13.1,29006
98,Jamaica,105861.04,0.29,0.75,0.14,0.11,0.14,0.18,0.04,0.57,0.18,0.14,2.54,2.39,Connected Devices,0.75,75.0,Zero Day,0.04,3.57,28
99,Japan,90536.18,0.55,0.75,0.4,0.35,0.42,0.47,0.35,0.72,0.45,0.08,4.53,4.45,Connected Devices,0.75,75.47,Blockchain,0.35,34.59,159
101,Jordan,94321.1,0.53,0.67,0.17,0.23,0.17,0.3,0.2,0.63,0.43,0.0,3.33,3.33,Connected Devices,0.67,66.67,Botnet,0.17,16.67,30
103,Kenya,122191.94,0.37,0.71,0.2,0.21,0.25,0.28,0.15,0.54,0.3,0.09,3.11,3.01,Connected Devices,0.71,71.33,Zero Day,0.15,15.05,279
104,"Korea, Republic of",82441.98,0.52,0.7,0.22,0.3,0.46,0.54,0.36,0.64,0.54,0.08,4.36,4.28,Connected Devices,0.7,70.0,Botnet,0.22,22.0,50
105,Kuwait,119812.75,0.05,0.75,0.1,0.05,0.1,0.15,0.05,0.5,0.2,0.1,2.05,1.95,Connected Devices,0.75,75.0,IoT,0.05,5.0,20
107,Lao People's Democratic Republic,83364.44,0.11,0.22,0.17,0.11,0.11,0.06,0.06,0.11,0.11,0.06,1.11,1.06,Connected Devices,0.22,22.22,DDOS,0.06,5.56,18
108,Latvia,99583.3,0.32,0.68,0.48,0.3,0.3,0.59,0.27,0.68,0.43,0.09,4.14,4.05,Connected Devices,0.68,68.18,Zero Day,0.27,27.27,44
109,Lebanon,108681.45,0.29,0.63,0.18,0.14,0.2,0.35,0.12,0.59,0.41,0.22,3.12,2.9,Connected Devices,0.63,62.75,Zero Day,0.12,11.76,51
114,Lithuania,102296.07,0.39,0.8,0.51,0.3,0.36,0.7,0.36,0.78,0.58,0.04,4.83,4.78,Connected Devices,0.8,79.71,Blockchain,0.3,30.43,69
115,Luxembourg,88602.94,0.29,0.8,0.35,0.24,0.32,0.35,0.22,0.55,0.41,0.1,3.63,3.53,Connected Devices,0.8,79.91,Zero Day,0.22,21.92,219
117,Macedonia,115671.58,0.25,0.53,0.33,0.17,0.22,0.36,0.17,0.47,0.31,0.14,2.94,2.81,Connected Devices,0.53,52.78,Blockchain,0.17,16.67,36
118,Madagascar,91983.28,0.12,0.63,0.14,0.06,0.13,0.15,0.09,0.47,0.21,0.14,2.14,2.0,Connected Devices,0.63,62.57,Blockchain,0.06,6.42,187
120,Malaysia,104949.28,0.28,0.67,0.2,0.18,0.35,0.31,0.18,0.54,0.27,0.14,3.12,2.98,Connected Devices,0.67,66.98,Blockchain,0.18,17.59,325
122,Mali,103184.59,0.08,0.45,0.08,0.01,0.04,0.07,0.09,0.28,0.16,0.09,1.34,1.25,Connected Devices,0.45,44.74,Blockchain,0.01,1.32,78
123,Malta,95563.93,0.39,0.64,0.3,0.3,0.32,0.43,0.23,0.57,0.43,0.16,3.75,3.59,Connected Devices,0.64,63.64,Zero Day,0.23,22.73,44
125,Martinique,97815.46,0.14,0.79,0.26,0.14,0.2,0.27,0.18,0.49,0.34,0.14,2.93,2.79,Connected Devices,0.79,78.5,IoT,0.14,14.02,107
127,Mauritius,103615.87,0.44,0.79,0.32,0.23,0.31,0.39,0.13,0.61,0.47,0.16,3.84,3.68,Connected Devices,0.79,79.03,Zero Day,0.13,12.9,62
128,Mayotte,103309.35,0.12,0.62,0.08,0.0,0.04,0.12,0.15,0.35,0.12,0.27,1.85,1.58,Connected Devices,0.62,61.54,Blockchain,0.0,0.0,26
129,Mexico,102643.76,0.21,0.74,0.2,0.15,0.15,0.27,0.21,0.54,0.34,0.14,2.94,2.8,Connected Devices,0.74,74.16,RFID,0.15,14.56,6896
132,Monaco,99747.24,0.24,0.9,0.24,0.29,0.33,0.38,0.14,0.67,0.43,0.05,3.67,3.62,Connected Devices,0.9,90.48,Zero Day,0.14,14.29,21
133,Mongolia,129945.23,0.14,0.32,0.14,0.05,0.14,0.14,0.23,0.32,0.18,0.32,1.95,1.64,Connected Devices,0.32,31.82,Blockchain,0.05,4.55,23
134,Montenegro,113814.94,0.12,0.65,0.24,0.18,0.24,0.35,0.18,0.53,0.41,0.06,2.94,2.88,Connected Devices,0.65,64.71,IoT,0.12,11.76,17
135,Morocco,97997.66,0.1,0.48,0.12,0.1,0.1,0.17,0.11,0.36,0.22,0.1,1.87,1.76,Connected Devices,0.48,48.19,RFID,0.1,10.01,809
136,Mozambique,105198.96,0.07,0.63,0.07,0.07,0.04,0.07,0.07,0.26,0.04,0.26,1.59,1.33,Connected Devices,0.63,62.96,RFID,0.04,3.7,27
137,Myanmar,110912.81,0.07,0.34,0.05,0.02,0.07,0.1,0.05,0.26,0.11,0.08,1.16,1.07,Connected Devices,0.34,34.26,Blockchain,0.02,1.85,111
138,Namibia,91726.92,0.29,0.67,0.08,0.12,0.08,0.25,0.04,0.5,0.21,0.12,2.38,2.25,Connected Devices,0.67,66.67,Zero Day,0.04,4.17,24
139,Nepal,115189.33,0.21,0.56,0.17,0.1,0.08,0.2,0.1,0.4,0.24,0.08,2.15,2.07,Connected Devices,0.56,55.93,RFID,0.08,8.47,180
140,Netherlands,82521.48,0.5,0.83,0.57,0.38,0.49,0.65,0.39,0.77,0.63,0.06,5.26,5.2,Connected Devices,0.83,83.18,Blockchain,0.38,37.62,755
141,New Caledonia,86843.59,0.09,0.81,0.15,0.11,0.21,0.17,0.11,0.5,0.26,0.12,2.54,2.42,Connected Devices,0.81,80.85,IoT,0.09,9.22,141
142,New Zealand,75868.34,0.3,0.76,0.33,0.21,0.33,0.32,0.2,0.55,0.31,0.17,3.48,3.31,Connected Devices,0.76,75.94,Zero Day,0.2,20.48,587
143,Nicaragua,102464.28,0.1,0.68,0.14,0.11,0.04,0.2,0.14,0.51,0.29,0.19,2.4,2.21,Connected Devices,0.68,68.05,RFID,0.04,4.14,169
144,Niger,113963.07,0.17,0.55,0.1,0.14,0.1,0.07,0.07,0.38,0.03,0.24,1.86,1.62,Connected Devices,0.55,55.17,TOR,0.03,3.45,29
145,Nigeria,127105.31,0.27,0.67,0.13,0.2,0.14,0.16,0.1,0.5,0.18,0.08,2.44,2.36,Connected Devices,0.67,67.25,Zero Day,0.1,9.51,286
147,Norway,84264.16,0.47,0.8,0.53,0.36,0.44,0.59,0.35,0.78,0.62,0.06,5.02,4.95,Connected Devices,0.8,79.92,Zero Day,0.35,35.25,245
148,Oman,113311.26,0.11,0.63,0.16,0.11,0.37,0.37,0.11,0.68,0.37,0.11,3.0,2.89,VPN,0.68,68.42,IoT,0.11,10.53,19
149,Pakistan,117129.48,0.17,0.46,0.12,0.08,0.14,0.15,0.08,0.34,0.16,0.11,1.81,1.7,Connected Devices,0.46,45.88,Zero Day,0.08,8.03,480
151,Panama,102747.55,0.19,0.75,0.22,0.13,0.15,0.24,0.21,0.52,0.26,0.1,2.77,2.67,Connected Devices,0.75,75.43,Blockchain,0.13,13.14,175
153,Paraguay,100177.44,0.16,0.71,0.15,0.12,0.12,0.26,0.17,0.52,0.27,0.14,2.61,2.48,Connected Devices,0.71,70.82,Blockchain,0.12,11.74,281
154,Peru,106285.8,0.17,0.67,0.13,0.13,0.1,0.21,0.15,0.46,0.28,0.14,2.44,2.3,Connected Devices,0.67,66.96,RFID,0.1,9.91,911
155,Philippines,112061.5,0.23,0.64,0.19,0.1,0.32,0.29,0.13,0.49,0.31,0.13,2.83,2.7,Connected Devices,0.64,64.36,Blockchain,0.1,10.06,480
156,Poland,85707.31,0.61,0.81,0.65,0.44,0.53,0.7,0.55,0.78,0.75,0.03,5.86,5.83,Connected Devices,0.81,80.83,Blockchain,0.44,44.04,194
157,Portugal,90070.21,0.41,0.8,0.37,0.26,0.36,0.44,0.3,0.71,0.47,0.08,4.21,4.13,Connected Devices,0.8,80.44,Blockchain,0.26,25.87,317
158,Puerto Rico,102862.58,0.21,0.67,0.16,0.11,0.17,0.27,0.17,0.45,0.27,0.21,2.7,2.49,Connected Devices,0.67,66.98,Blockchain,0.11,11.32,106
159,Qatar,117612.97,0.15,0.7,0.21,0.09,0.21,0.21,0.15,0.64,0.24,0.06,2.67,2.61,Connected Devices,0.7,69.7,Blockchain,0.09,9.09,33
160,Reunion,96610.64,0.1,0.8,0.19,0.11,0.15,0.27,0.13,0.5,0.31,0.11,2.69,2.58,Connected Devices,0.8,80.15,IoT,0.1,10.05,390
161,Romania,102723.94,0.39,0.75,0.35,0.27,0.32,0.5,0.3,0.67,0.5,0.07,4.11,4.04,Connected Devices,0.75,74.51,Blockchain,0.27,27.45,408
162,Russian Federation,77916.42,0.53,0.77,0.65,0.51,0.47,0.75,0.46,0.8,0.72,0.05,5.71,5.66,VPN,0.8,79.68,Zero Day,0.46,45.99,187
163,Rwanda,131014.05,0.23,0.45,0.14,0.14,0.18,0.14,0.14,0.41,0.27,0.09,2.18,2.09,Connected Devices,0.45,45.45,Botnet,0.14,13.64,22
169,San Marino,84971.4,0.2,0.73,0.27,0.13,0.13,0.27,0.13,0.47,0.33,0.2,2.87,2.67,Connected Devices,0.73,73.33,Blockchain,0.13,13.33,15
171,Saudi Arabia,118692.42,0.24,0.55,0.2,0.11,0.21,0.27,0.1,0.61,0.35,0.07,2.71,2.64,VPN,0.61,60.75,Zero Day,0.1,10.28,107
172,Senegal,100426.89,0.1,0.55,0.11,0.07,0.06,0.12,0.1,0.36,0.16,0.15,1.78,1.62,Connected Devices,0.55,54.69,RFID,0.06,5.73,192
173,Serbia,110484.99,0.34,0.73,0.35,0.21,0.28,0.47,0.24,0.61,0.49,0.07,3.78,3.72,Connected Devices,0.73,72.73,Blockchain,0.21,21.21,199
176,Singapore,102605.87,0.41,0.77,0.32,0.27,0.47,0.43,0.2,0.67,0.4,0.1,4.04,3.94,Connected Devices,0.77,77.33,Zero Day,0.2,20.35,173
178,Slovakia,99771.6,0.51,0.77,0.45,0.33,0.4,0.58,0.3,0.68,0.58,0.07,4.66,4.59,Connected Devices,0.77,76.71,Zero Day,0.3,30.14,73
179,Slovenia,94688.33,0.41,0.84,0.38,0.38,0.4,0.59,0.32,0.68,0.56,0.08,4.64,4.56,Connected Devices,0.84,83.56,Zero Day,0.32,31.51,73
182,South Africa,91290.2,0.37,0.79,0.32,0.29,0.33,0.36,0.24,0.64,0.39,0.11,3.84,3.73,Connected Devices,0.79,79.27,Zero Day,0.24,24.15,468
184,Spain,97712.52,0.28,0.78,0.27,0.19,0.21,0.37,0.24,0.57,0.43,0.13,3.49,3.35,Connected Devices,0.78,78.0,Blockchain,0.19,19.47,5851
185,Sri Lanka,118729.8,0.25,0.52,0.22,0.14,0.17,0.22,0.16,0.35,0.14,0.14,2.3,2.15,Connected Devices,0.52,51.69,Blockchain,0.14,13.56,119
186,Sudan,128081.37,0.15,0.32,0.1,0.05,0.1,0.15,0.1,0.27,0.12,0.1,1.44,1.34,Connected Devices,0.32,31.71,Blockchain,0.05,4.88,41
189,Sweden,77814.85,0.6,0.87,0.57,0.41,0.55,0.66,0.44,0.83,0.68,0.04,5.64,5.6,Connected Devices,0.87,86.61,Blockchain,0.41,41.07,336
190,Switzerland,92922.54,0.26,0.79,0.31,0.26,0.32,0.34,0.19,0.57,0.42,0.12,3.58,3.46,Connected Devices,0.79,78.55,Zero Day,0.19,19.25,3697
191,Syrian Arab Republic,154356.16,0.16,0.63,0.11,0.11,0.11,0.26,0.26,0.53,0.26,0.0,2.42,2.42,Connected Devices,0.63,63.16,Botnet,0.11,10.53,19
192,Taiwan,67049.94,0.69,0.83,0.44,0.37,0.65,0.58,0.4,0.81,0.42,0.02,5.21,5.19,Connected Devices,0.83,82.69,Blockchain,0.37,36.54,52
194,"Tanzania, United Republic of",126796.78,0.19,0.54,0.17,0.14,0.08,0.18,0.11,0.39,0.14,0.1,2.04,1.94,Connected Devices,0.54,54.17,RFID,0.08,8.33,72
195,Thailand,96423.88,0.28,0.63,0.26,0.22,0.33,0.28,0.16,0.5,0.33,0.07,3.04,2.97,Connected Devices,0.63,62.84,Zero Day,0.16,16.06,220
196,Togo,106441.34,0.04,0.58,0.08,0.05,0.04,0.11,0.1,0.34,0.15,0.15,1.64,1.49,Connected Devices,0.58,57.53,IoT,0.04,4.11,73
198,Trinidad and Tobago,111405.67,0.33,0.82,0.18,0.15,0.36,0.27,0.18,0.73,0.3,0.09,3.42,3.33,Connected Devices,0.82,81.82,Blockchain,0.15,15.15,33
199,Tunisia,96094.97,0.18,0.6,0.15,0.13,0.15,0.24,0.13,0.39,0.25,0.09,2.31,2.22,Connected Devices,0.6,60.36,Blockchain,0.13,12.86,281
200,Turkey,95399.02,0.38,0.75,0.39,0.28,0.37,0.49,0.29,0.79,0.63,0.07,4.45,4.38,VPN,0.79,79.11,Blockchain,0.28,28.48,159
202,Uganda,111763.66,0.32,0.64,0.16,0.05,0.15,0.21,0.1,0.48,0.26,0.05,2.42,2.37,Connected Devices,0.64,64.38,Blockchain,0.05,5.48,73
203,Ukraine,85837.58,0.54,0.78,0.62,0.51,0.5,0.76,0.49,0.78,0.73,0.07,5.78,5.72,Connected Devices,0.78,78.38,Zero Day,0.49,48.65,74
204,United Arab Emirates,113587.28,0.37,0.71,0.28,0.21,0.35,0.42,0.19,0.67,0.33,0.05,3.58,3.53,Connected Devices,0.71,71.43,Zero Day,0.19,19.48,155
205,United Kingdom,81557.54,0.36,0.79,0.38,0.22,0.35,0.4,0.23,0.61,0.39,0.13,3.85,3.72,Connected Devices,0.79,78.73,Blockchain,0.22,21.98,5089
206,United States,77352.4,0.29,0.76,0.32,0.17,0.44,0.33,0.23,0.56,0.32,0.16,3.57,3.42,Connected Devices,0.76,75.76,Blockchain,0.17,17.04,20254
207,Uruguay,95381.81,0.18,0.71,0.2,0.15,0.13,0.27,0.2,0.49,0.33,0.18,2.85,2.67,Connected Devices,0.71,71.16,RFID,0.13,13.47,475
210,Venezuela,107870.94,0.13,0.65,0.11,0.12,0.07,0.18,0.13,0.43,0.2,0.18,2.19,2.01,Connected Devices,0.65,65.1,RFID,0.07,7.4,1666
211,Vietnam,103179.9,0.36,0.49,0.24,0.16,0.14,0.31,0.18,0.41,0.3,0.09,2.69,2.6,Connected Devices,0.49,49.29,RFID,0.14,14.29,140
215,Zambia,119630.55,0.17,0.52,0.14,0.07,0.1,0.14,0.14,0.38,0.14,0.14,1.93,1.79,Connected Devices,0.52,51.72,Blockchain,0.07,6.9,29
216,Zimbabwe,126442.13,0.34,0.79,0.2,0.21,0.11,0.26,0.15,0.62,0.33,0.05,3.07,3.02,Connected Devices,0.79,78.69,RFID,0.11,11.48,61
